user_id,age,married,has_children,total_sessions,total_clicks,avg_session_duration_sec,total_completed_trips,booking_conversion_rate,total_checked_bags,total_distance_km,money_spent_flight,money_spent_hotel,hotel_loyalty_score,avg_days_booking_to_trip,avg_trip_duration_days,trip_duration_type,flight_only_rate,hotel_only_rate,both_booked_rate,discount_usage_rate,cancellation_per_booking_rate,cluster,cluster_name,perk
23557,64,1,0,8,82,77,2,0.25,0,0,0.0,3670.5,0.5,13.0,10.0,long,0.0,1.0,0.0,0.5,0.0,3,Hotel Loyalists,🏨 Extended Stay Discounts
94883,50,1,0,8,73,68,2,0.25,1,2907,2974.5,230.0,0.5,8.0,2.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
101486,50,1,1,8,131,122,2,0.25,0,965,379.8,2452.0,0.5,8.0,5.0,medium,0.0,0.5,0.5,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
101961,42,1,0,8,126,118,5,0.63,2,6608,2475.4,2798.0,0.2,7.0,5.0,medium,0.0,0.0,1.0,0.2,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
106907,44,1,1,8,240,759,0,0.13,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,1.0,0.0,1.0,4,Serial Cancellers,💰 Travel or Credit Offer
118043,50,0,1,8,164,153,5,0.63,3,7365,10253.1,6443.5,0.5,9.0,5.0,medium,0.2,0.4,0.4,0.6,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
120851,50,1,1,8,55,52,1,0.13,0,2250,769.4,2002.0,1.0,8.0,12.0,long,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
125845,39,1,0,9,159,132,3,0.33,2,8102,4501.2,864.0,0.5,9.0,3.0,short,0.0,0.0,1.0,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
133058,18,0,0,8,73,68,1,0.13,0,2708,847.0,0.0,0.0,6.0,4.0,medium,1.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
149058,50,0,1,8,142,132,5,0.63,2,9524,4826.6,6274.0,0.2,7.0,7.0,medium,0.0,0.0,1.0,0.2,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
152583,36,0,0,8,149,139,1,0.13,2,2179,735.7,639.0,1.0,9.0,5.0,medium,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
153982,44,0,1,8,150,139,3,0.38,1,3848,1313.7,1302.0,0.333,9.0,3.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
