user_id,cluster,cluster_name,perk
23557,3,Hotel Loyalists,🏨 Extended Stay Discounts
94883,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
101486,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
101961,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
106907,4,Serial Cancellers,💰 Travel or Credit Offer
118043,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
120851,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
125845,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
133058,2,Window Shoppers,💰 First-Booking Discount
149058,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
152583,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
153982,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
160754,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
164522,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
167852,2,Window Shoppers,💰 First-Booking Discount
171470,4,Serial Cancellers,💰 Travel or Credit Offer
174997,1,Change-Prone Travelers,✅ Free Cancellation
175032,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
181157,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
182191,4,Serial Cancellers,💰 Travel or Credit Offer
187212,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
189676,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
190866,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
195192,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
204943,1,Change-Prone Travelers,✅ Free Cancellation
204997,1,Change-Prone Travelers,✅ Free Cancellation
205044,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
206011,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
216796,4,Serial Cancellers,💰 Travel or Credit Offer
217114,2,Window Shoppers,💰 First-Booking Discount
217136,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
220725,1,Change-Prone Travelers,✅ Free Cancellation
224996,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
226367,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
228195,2,Window Shoppers,💰 First-Booking Discount
228872,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
229009,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
229108,4,Serial Cancellers,💰 Travel or Credit Offer
229330,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
232647,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
249521,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
252835,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
258451,4,Serial Cancellers,💰 Travel or Credit Offer
264470,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
276512,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
281952,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
283325,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
290123,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
297546,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
298253,2,Window Shoppers,💰 First-Booking Discount
299476,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
306165,2,Window Shoppers,💰 First-Booking Discount
306819,1,Change-Prone Travelers,✅ Free Cancellation
312488,2,Window Shoppers,💰 First-Booking Discount
313724,1,Change-Prone Travelers,✅ Free Cancellation
